+-------------------------------------------------------------------------------------------------------+
| key                                 | types                     | occurrences | percents              |
| data.detail.misc.sar                | Array (1773),String (142) |        1915 |  22.32975746268656891 |
| data.detail.display.protection      | String                    |        1604 |  18.70335820895522261 |
| data.detail.body.                   | Array (204),String (866)  |        1070 |  12.47667910447761130 |
| data.detail.tests                   | Object                    |         947 |  11.04244402985074558 |
| data.detail.comms.nfc               | String                    |         932 |  10.86753731343283569 |
| data.detail.comms.infrared_port     | String                    |         926 |  10.79757462686567138 |
| data.detail.camera                  | Object                    |         870 |  10.14458955223880565 |
| data.detail.camera.                 | String                    |         870 |  10.14458955223880565 |
| data.detail.tests.loudspeaker       | String                    |         836 |   9.74813432835820848 |
| data.detail.tests.audio_quality     | String                    |         766 |   8.93190298507462721 |
| data.detail.tests.camera            | String                    |         698 |   8.13899253731343286 |
| data.detail.selfie_camera.features  | String                    |         687 |   8.01072761194029859 |
| data.detail.battery.charging        | String (584),Array (101)  |         685 |   7.98740671641791078 |
| data.detail.battery.music_play      | String                    |         682 |   7.95242537313432862 |
| data.detail.body.keyboard           | String                    |         667 |   7.77751865671641784 |
| data.detail.body.build              | String                    |         572 |   6.66977611940298498 |
| data.detail.tests.display           | String                    |         566 |   6.59981343283582067 |
| data.detail.tests.battery_life      | String                    |         533 |   6.21501865671641784 |
| data.detail.memory.                 | Array (191),String (202)  |         393 |   4.58255597014925353 |
| data.detail.tests.performance       | String                    |         392 |   4.57089552238806007 |
| data.detail.main__camera.dual       | Array (317),String (1)    |         318 |   3.70802238805970141 |
| data.detail.features.alarm          | String                    |         238 |   2.77518656716417889 |
| data.detail.features.clock          | String                    |         238 |   2.77518656716417889 |
| data.detail.features.languages      | String                    |         176 |   2.05223880597014929 |
| data.detail.selfie_camera.dual      | Array                     |          63 |   0.73460820895522383 |
| data.detail.main__camera.triple     | Array                     |          32 |   0.37313432835820898 |
| data.detail.main__camera.           | String                    |           5 |   0.05830223880597015 |
| data.detail.main__camera.quad       | Array                     |           2 |   0.02332089552238806 |
| data.detail.main__camera.five       | Array                     |           1 |   0.01166044776119403 |
+-------------------------------------------------------------------------------------------------------+
